Año,Total,Variación interanual,Residencial,Variación interanual,Organizaciones,Variación interanual
2018,7376322,3.29783838823194,6814635,4.07345306723109,561687,-5.26765836875126
2018,7396762,3.16900986085894,6835476,3.9505926139845,561286,-5.48529032888168
2018,7410696,3.33663719222936,6852154,4.06227072682643,558542,-4.8066877433979
2018,7435673,3.46787067227574,6877004,4.2197217788176,558669,-4.97097260896115
2018,7450022,3.70111672549309,6894157,4.43733433031804,555865,-4.63654439680832
2018,7443730,3.35892591684386,6892124,3.87246523417078,551606,-2.65438624046364
2018,7462750,2.72171420934046,6908965,3.12192808085969,553785,-2.02223932485867
2018,7467203,2.31497961840168,6917031,2.73636647592375,550172,-2.7024350388096
2018,7454909,1.77949037001358,6908537,2.19416358108562,546372,-3.18767032507505
2018,7478327,1.6910185926785,6938950,2.19843842488669,539377,-4.41442032157396
2019,7459631,1.42913376458711,6917757,1.87479474850709,541874,-3.93582413686123
2019,7445014,1.01286748195,6906376,1.43815194625509,538638,-4.14022374008279
2019,7465236,1.20539748671493,6926485,1.64132048158119,538751,-4.08341300403961
2019,7470254,0.993569889094715,6933312,1.43129754240962,536942,-4.33718282658039
2019,7490212,1.07298963552141,6953208,1.47477712847667,537004,-3.85611108922875
2019,7499094,0.852928847193795,6963834,1.26261377774391,535260,-4.19013763069009
2019,7482138,0.431085975316577,6949273,0.799459600354325,532865,-4.13769530371583
2019,7517171,0.986615581166973,6989628,1.41471627614361,527543,-4.36235283880161
2019,7539596,1.029727647315,7006314,1.40902436182554,533282,-3.70233935552606
2019,7540850,0.986272905664947,7011285,1.36263665725944,529565,-3.7455559352348
2019,7527881,0.97884494633,7009989,1.46850194187277,517892,-5.21256579766167
2019,7511371,0.441863534450945,7000588,0.888290015059923,510783,-5.30130131614808
2020,7494764,0.470975038845751,6986877,0.999167793838367,507887,-6.27212230149445
2020,7480346,0.474572646874805,6976141,1.01015351611322,504205,-6.39260505200153
2020,7451435,-0.184870243887801,6951685,0.363820899056307,499750,-7.23915129623889
2020,7373626,-1.29350354084346,6881887,-0.741709012950807,491739,-8.418600146757
2020,7471756,-0.246401570476237,6988020,0.500660989862524,483736,-9.9194791845126
2020,7489466,-0.128388842705533,7016990,0.76331515082066,472476,-11.7296267234615
2020,7530396,0.644976075020281,7067474,1.70091173565925,462922,-13.1258386270444
2020,7586512,0.922434782978868,7128595,1.98818878486809,457917,-13.1981658367185
2020,7634618,1.26030625513623,7185044,2.55098472606281,449574,-15.6967608132283
2020,7653500,1.49386342388458,7209115,2.82159404445832,444385,-16.0848998706486
2020,7660764,1.76521121946533,7219175,2.9841130991789,441589,-14.7333807048574
2020,7679884,2.24343864788466,7243215,3.46580887205474,436669,-14.5098799294417
2021,7665599,2.27939131905954,7231128,3.49585372692263,434471,-14.4551839287086
2021,7688400,2.78134193257907,7258483,4.04725191190947,429917,-14.7336896698763
2021,7697809,3.30639668734949,7268447,4.55662188375912,429362,-14.0846423211606
2021,7759331,5.23087284329311,7328789,6.49388750498228,430542,-12.4450165636649
2021,7759571,3.85203960086491,7333868,4.94915584099644,425703,-11.9968329832801
2021,7779109,3.86733847246252,7355333,4.82176830806371,423776,-10.3074018574488
2021,7793200,3.4899094284019,7372749,4.31943577012098,420451,-9.17454776398617
2021,7797929,2.78674837659256,7381302,3.54497625408653,416627,-9.01691791307158
2021,7795707,2.10998114116514,7379450,2.70570368114656,416257,-7.41079332879571
2021,7836208,2.38724766446722,7419704,2.92114912856849,416504,-6.27406415608087
2021,7839845,2.33763890912186,7416642,2.73531255302719,423203,-4.16360008967615
2021,7845179,2.15231115469973,7422438,2.4743570362056,422741,-3.18960127693974
2022,7831866,2.16900205711256,7410847,2.48535221614109,421019,-3.09617903151188
2022,7858249,2.20915925290048,7440011,2.50090824763245,418238,-2.71657087298246
2022,7858258,2.08434633802943,7447339,2.46121351644994,410919,-4.29544300613468
2022,7874488,1.48410990586689,7463285,1.83517358734164,411203,-4.49178012830339
2022,7895114,1.74678471271157,7482841,2.03130189962512,412273,-3.15478162004966
2022,7896177,1.50490242520063,7485779,1.773488705406,410398,-3.15685645246545
2022,7896601,1.32681055278961,7498128,1.70057328684321,398473,-5.2272440783825
2022,7914194,1.49097279546915,7516044,1.82545030673451,398150,-4.4349022026897
2022,7934434,1.77953070837577,7536818,2.13251665096992,397616,-4.47824300852598
2022,7934360,1.25254459810154,7537400,1.58626274040043,396960,-4.69239190980159
2022,7954922,1.46784789750308,7558957,1.91886031441184,395965,-6.43615475315629
2022,7949138,1.32513228824989,7552749,1.7556360861485,396389,-6.23360402705202
