,Año,Trimestre,Provincia,Accesos por cada 100 hab
275,2019,4,La Rioja,13
276,2019,4,Mendoza,9
277,2019,4,Misiones,11
278,2019,4,Neuquén,18
279,2019,4,Río Negro,17
280,2019,4,Salta,12
281,2019,4,San Juan,8
282,2019,4,San Luis,21
283,2019,4,Santa Cruz,11
284,2019,4,Santa Fe,22
285,2019,4,Santiago Del Estero,11
286,2019,4,Tierra Del Fuego,24
287,2019,4,Tucumán,12
288,2019,3,Buenos Aires,23
289,2019,3,Capital Federal,47
290,2019,3,Catamarca,8
291,2019,3,Chaco,10
292,2019,3,Chubut,15
293,2019,3,Córdoba,21
294,2019,3,Corrientes,10
295,2019,3,Entre Ríos,17
296,2019,3,Formosa,8
297,2019,3,Jujuy,11
298,2019,3,La Pampa,26
299,2019,3,La Rioja,13
300,2019,3,Mendoza,11
301,2019,3,Misiones,11
302,2019,3,Neuquén,19
303,2019,3,Río Negro,20
304,2019,3,Salta,11
305,2019,3,San Juan,9
306,2019,3,San Luis,24
307,2019,3,Santa Cruz,11
308,2019,3,Santa Fe,22
309,2019,3,Santiago Del Estero,14
310,2019,3,Tierra Del Fuego,29
311,2019,3,Tucumán,10
312,2019,2,Buenos Aires,22
313,2019,2,Capital Federal,46
314,2019,2,Catamarca,8
315,2019,2,Chaco,9
316,2019,2,Chubut,14
317,2019,2,Córdoba,21
318,2019,2,Corrientes,10
319,2019,2,Entre Ríos,17
320,2019,2,Formosa,8
321,2019,2,Jujuy,11
322,2019,2,La Pampa,25
323,2019,2,La Rioja,13
324,2019,2,Mendoza,11
325,2019,2,Misiones,11
326,2019,2,Neuquén,19
327,2019,2,Río Negro,19
328,2019,2,Salta,10
329,2019,2,San Juan,9
330,2019,2,San Luis,23
331,2019,2,Santa Cruz,9
332,2019,2,Santa Fe,21
333,2019,2,Santiago Del Estero,13
334,2019,2,Tierra Del Fuego,28
335,2019,2,Tucumán,10
336,2019,1,Buenos Aires,22
337,2019,1,Capital Federal,46
338,2019,1,Catamarca,8
339,2019,1,Chaco,9
340,2019,1,Chubut,13
341,2019,1,Córdoba,20
342,2019,1,Corrientes,9
343,2019,1,Entre Ríos,17
344,2019,1,Formosa,8
345,2019,1,Jujuy,12
346,2019,1,La Pampa,25
347,2019,1,La Rioja,13
348,2019,1,Mendoza,11
349,2019,1,Misiones,10
350,2019,1,Neuquén,18
351,2019,1,Río Negro,16
352,2019,1,Salta,10
353,2019,1,San Juan,8
354,2019,1,San Luis,19
355,2019,1,Santa Cruz,7
356,2019,1,Santa Fe,21
357,2019,1,Santiago Del Estero,9
358,2019,1,Tierra Del Fuego,28
359,2019,1,Tucumán,10
360,2018,4,Buenos Aires,21
361,2018,4,Capital Federal,45
362,2018,4,Catamarca,8
363,2018,4,Chaco,9
364,2018,4,Chubut,13
365,2018,4,Córdoba,20
366,2018,4,Corrientes,9
367,2018,4,Entre Ríos,16
368,2018,4,Formosa,8
369,2018,4,Jujuy,12
370,2018,4,La Pampa,24
371,2018,4,La Rioja,13
372,2018,4,Mendoza,11
373,2018,4,Misiones,9
374,2018,4,Neuquén,18
375,2018,4,Río Negro,16
376,2018,4,Salta,10
377,2018,4,San Juan,8
378,2018,4,San Luis,19
379,2018,4,Santa Cruz,7
380,2018,4,Santa Fe,21
381,2018,4,Santiago Del Estero,9
382,2018,4,Tierra Del Fuego,28
383,2018,4,Tucumán,10
384,2018,3,Buenos Aires,21
385,2018,3,Capital Federal,45
386,2018,3,Catamarca,8
387,2018,3,Chaco,9
388,2018,3,Chubut,17
389,2018,3,Córdoba,20
390,2018,3,Corrientes,9
391,2018,3,Entre Ríos,15
392,2018,3,Formosa,8
393,2018,3,Jujuy,6
394,2018,3,La Pampa,24
395,2018,3,La Rioja,14
396,2018,3,Mendoza,11
397,2018,3,Misiones,9
398,2018,3,Neuquén,18
399,2018,3,Río Negro,16
400,2018,3,Salta,10
401,2018,3,San Juan,8
402,2018,3,San Luis,15
403,2018,3,Santa Cruz,10
404,2018,3,Santa Fe,20
405,2018,3,Santiago Del Estero,9
406,2018,3,Tierra Del Fuego,28
407,2018,3,Tucumán,10
408,2018,2,Buenos Aires,20
409,2018,2,Capital Federal,45
410,2018,2,Catamarca,8
411,2018,2,Chaco,8
412,2018,2,Chubut,17
413,2018,2,Córdoba,19
414,2018,2,Corrientes,9
415,2018,2,Entre Ríos,15
416,2018,2,Formosa,7
417,2018,2,Jujuy,6
418,2018,2,La Pampa,23
419,2018,2,La Rioja,14
420,2018,2,Mendoza,10
421,2018,2,Misiones,9
422,2018,2,Neuquén,18
423,2018,2,Río Negro,15
424,2018,2,Salta,10
425,2018,2,San Juan,8
426,2018,2,San Luis,4
427,2018,2,Santa Cruz,10
428,2018,2,Santa Fe,20
429,2018,2,Santiago Del Estero,9
430,2018,2,Tierra Del Fuego,27
431,2018,2,Tucumán,10
432,2018,1,Buenos Aires,20
433,2018,1,Capital Federal,45
434,2018,1,Catamarca,8
435,2018,1,Chaco,8
436,2018,1,Chubut,16
437,2018,1,Córdoba,19
438,2018,1,Corrientes,9
439,2018,1,Entre Ríos,15
440,2018,1,Formosa,5
441,2018,1,Jujuy,6
442,2018,1,La Pampa,24
443,2018,1,La Rioja,14
444,2018,1,Mendoza,10
445,2018,1,Misiones,8
446,2018,1,Neuquén,18
447,2018,1,Río Negro,15
448,2018,1,Salta,10
449,2018,1,San Juan,8
450,2018,1,San Luis,4
451,2018,1,Santa Cruz,10
452,2018,1,Santa Fe,20
453,2018,1,Santiago Del Estero,9
454,2018,1,Tierra Del Fuego,19
455,2018,1,Tucumán,10
456,2017,4,Buenos Aires,19
457,2017,4,Capital Federal,52
458,2017,4,Catamarca,7
459,2017,4,Chaco,8
460,2017,4,Chubut,16
461,2017,4,Córdoba,19
462,2017,4,Corrientes,9
463,2017,4,Entre Ríos,14
464,2017,4,Formosa,5
465,2017,4,Jujuy,6
466,2017,4,La Pampa,23
467,2017,4,La Rioja,14
468,2017,4,Mendoza,9
469,2017,4,Misiones,8
470,2017,4,Neuquén,18
471,2017,4,Río Negro,15
472,2017,4,Salta,10
473,2017,4,San Juan,8
474,2017,4,San Luis,3
475,2017,4,Santa Cruz,9
476,2017,4,Santa Fe,19
477,2017,4,Santiago Del Estero,7
478,2017,4,Tierra Del Fuego,18
479,2017,4,Tucumán,10
480,2017,3,Buenos Aires,18
481,2017,3,Capital Federal,51
482,2017,3,Catamarca,8
483,2017,3,Chaco,8
484,2017,3,Chubut,14
485,2017,3,Córdoba,19
486,2017,3,Corrientes,8
487,2017,3,Entre Ríos,14
488,2017,3,Formosa,5
489,2017,3,Jujuy,6
490,2017,3,La Pampa,23
491,2017,3,La Rioja,14
492,2017,3,Mendoza,10
493,2017,3,Misiones,8
494,2017,3,Neuquén,18
495,2017,3,Río Negro,15
496,2017,3,Salta,10
497,2017,3,San Juan,8
498,2017,3,San Luis,4
499,2017,3,Santa Cruz,10
500,2017,3,Santa Fe,19
501,2017,3,Santiago Del Estero,9
502,2017,3,Tierra Del Fuego,19
503,2017,3,Tucumán,10
504,2017,2,Buenos Aires,18
505,2017,2,Capital Federal,52
506,2017,2,Catamarca,7
507,2017,2,Chaco,8
