,Unnamed: 0,Partido,Localidad,ADSL,Unnamed: 4,DIALUP,FIBRAOPTICA,4G,Unnamed: 8,TELEFONIAFIJA,Unnamed: 10,SATELITAL
1647,RIO NEGRO,,Barrio Pino Azul,--,--,,--,SI,SI,,--,--
1648,RIO NEGRO,General Roca,,--,--,--,,--,--,--,,--
1649,RIO NEGRO,General Roca,Barrio Presidente Perón,,--,--,--,,,--,--,--
1650,,General Roca,Barrio Puente 83,--,,--,--,--,,--,SI,
1651,RIO NEGRO,,,--,--,,,--,--,--,--,--
1652,RIO NEGRO,,Barrio Santa Lucia,--,--,,--,--,--,,,--
1653,RIO NEGRO,,,--,--,,,--,--,,SI,
1654,RIO NEGRO,General Roca,,--,--,--,,SI,SI,--,--,--
1655,,General Roca,Catriel,,,--,SI,,,--,,SI
1656,RIO NEGRO,General Roca,Cervantes,,SI,--,--,,--,SI,SI,SI
1657,RIO NEGRO,General Roca,,--,--,--,,SI,SI,SI,SI,
1658,RIO NEGRO,,,SI,--,,SI,SI,SI,,SI,
1659,RIO NEGRO,,Cipolletti,SI,SI,,SI,SI,SI,,SI,SI
1660,RIO NEGRO,,,--,--,,,SI,--,,,SI
1661,,General Roca,Ferri,--,,--,--,SI,,--,SI,--
1662,,General Roca,General Enrique Godoy,,,--,SI,,,--,SI,
1663,RIO NEGRO,General Roca,General Fernández Oro,,--,SI,SI,,SI,SI,,SI
1664,,General Roca,General Roca,SI,,SI,SI,SI,,SI,SI,SI
1665,RIO NEGRO,General Roca,,SI,--,SI,,SI,SI,SI,SI,
1666,RIO NEGRO,,Ingeniero Otto Krause,--,--,,,--,--,,SI,--
1667,,General Roca,Mainqué,,,--,--,,,--,,SI
1668,RIO NEGRO,General Roca,Paso Córdova,,--,--,--,,--,--,,--
1669,RIO NEGRO,,,--,--,,,--,--,,--,
1670,RIO NEGRO,,Peñas Blancas,--,--,,--,--,--,,--,
1671,,General Roca,Puente Cero,,,--,--,,,--,SI,--
1672,,General Roca,Sargento Vidal,--,,--,--,SI,,--,,--
1673,,General Roca,Tres Luces,--,,--,--,,,--,--,
1674,RIO NEGRO,General Roca,Villa Alberdi,,--,--,--,,--,--,SI,--
1675,RIO NEGRO,,Villa del Parque,--,--,,--,--,--,,,--
1676,RIO NEGRO,General Roca,,--,--,--,,SI,SI,SI,,SI
1677,RIO NEGRO,General Roca,Villa Regina,,--,SI,SI,,SI,SI,SI,SI
1678,,General Roca,Villa San Isidro,,,--,SI,,,--,SI,
1679,RIO NEGRO,Ñorquincó,Las Bayas,,--,--,--,,--,--,,--
1680,,Pichi Mahuida,Colonia Juliá y Echarren,,,--,SI,SI,,--,SI,SI
1681,RIO NEGRO,Pichi Mahuida,,--,--,--,,--,--,--,--,
1682,RIO NEGRO,,Pichi Mahuida,--,--,,--,--,--,,--,
1683,RIO NEGRO,,Río Colorado,SI,SI,,SI,SI,SI,,,SI
1684,RIO NEGRO,,,--,--,,,--,--,,,SI
1685,,Pilcaniyeu,Cañadón Chileno,--,,--,--,--,,--,--,
1686,,Pilcaniyeu,Comallo,,,--,SI,,,--,SI,
1687,RIO NEGRO,Pilcaniyeu,,SI,--,SI,,SI,SI,,,SI
1688,RIO NEGRO,,Laguna Blanca,--,--,,--,--,--,,--,SI
1689,,Pilcaniyeu,Ñirihuau,--,,--,--,--,,--,--,
1690,RIO NEGRO,Pilcaniyeu,Paso Flores,,--,--,--,,--,--,--,SI
1691,RIO NEGRO,,,--,--,,,--,--,,,SI
1692,RIO NEGRO,Pilcaniyeu,,--,--,--,,--,--,--,--,--
1693,RIO NEGRO,,,--,--,,,--,--,,--,SI
1694,RIO NEGRO,,El Empalme,--,--,,--,--,--,,--,
1695,,San Antonio,Las Grutas,,,SI,SI,,,SI,--,SI
1696,,San Antonio,Playas Doradas,--,,--,--,--,,--,,--
1697,SAN JUAN,,Chimbas,SI,--,,SI,SI,SI,,SI,
1698,SAN JUAN,,,--,--,,,--,--,--,--,--
1699,SAN JUAN,Chimbas,,--,--,--,,SI,SI,--,,--
1700,SAN JUAN,,,--,--,,--,SI,--,,SI,--
1701,SAN JUAN,Iglesia,Bella Vista,,--,--,--,,--,--,SI,
1702,,Iglesia,Iglesia,--,,--,--,--,,SI,SI,SI
1703,,Iglesia,Las Flores,--,,--,--,SI,,SI,SI,SI
1704,,Iglesia,Pismanta,,,--,--,,,--,,SI
